http 상태 코드,http 상태 메시지,http 응답 바디,발생원인,해결방안
403,Forbidden,"{
  ""message"" : ""Forbidden"",
  ""status"" : 403
}",API KEY 누락,"HTTP 헤더에 “x-api-key” 필드를 추가하고 발급받은 API KEY를 값으로 사용하여 요청 전달하도록 수정
API KEY는 개발자포털에서 생성한 애플리케이션의 “API KEY” 속성 탭을 통해 확인"
403,Forbidden,"{
  ""message"" : ""Forbidden"",
  ""status"" : 403
}",API KEY 오기재,"API KEY는 제휴사마다 발급된 값이 다르고 같은 제휴사라도 환경(STG/PRD)에 따라 값이 상이함
API KEY가 정상적으로 기재되었는지 확인"
403,Forbidden,"{
  ""message"" : ""Access Restricted"",
  ""status"" : 403
}",서버 IP/Referer Whitelist 미등록,개발자포털에서 생성한 애플리케이션의 “IP/Referer Whitelist” 속성 탭에 호출할 서버 IP/Referer 등록
403,Forbidden,"{
  ""message"" : ""Access Restricted"",
  ""status"" : 403
}",서버 IP/Referer Whitelist 모두 기재,“IP/Referer Whitelist” 속성에 IP와 Referer가 모두 등록된 경우 제휴사 정책에 따라 한 쪽은 삭제
403,Forbidden,"{
  ""error"" : ""API 접근 권한이 없습니다."",
  ""message"" : ""접근이 허가되지 않은 API 호출입니다."",
  ""timestamp"" : ""20241104150507"",
  ""status"" : 403
}",HTTP 메소드를 오지정,"HTTP 호출시 메소드를 정확하게 세팅하였는지 확인
API마다 서비스 특성에 따라 GET, POST로 메소드가 지정되어 있음 "
403,Forbidden,"{
  ""error"" : ""API 접근 권한이 없습니다."",
  ""message"" : ""접근이 허가되지 않은 API 호출입니다."",
  ""timestamp"" : ""20241104150507"",
  ""status"" : 403
}",호출 가능 API 목록에 미포함,"
담당자를 통해 API 등록 여부 확인
이용하고자 하는 서비스에 따라 담당자가 상이할 수 있으므로 별도 문의 필요 "
401,Unauthorized,"{ 
   ""error"": ""token not authorized"", 
   ""message"": ""token not authorized"", 
   ""timestamp"": ""20241105102919"", 
   ""status"": 401
}",대고객 채널의 CI 누락,HTTP 헤더에 “x-cnnt-info” 필드를 추가하고 고객의 CI를 세팅하여 요청 전달하도록 수정
500, Internal Server Error,"{
    ""timestamp"": ""20241205175222"",
    ""status"": 500,
    ""code"": ""COM_9999"",
    ""message"": ""[COM_9999] 내부 오류가 발생하였습니다""
}",전문 구성 오류,"
요청 바디의 구성에 오류가 있거나 바디의 구성이 사전 정의된 것과 다르게 구성된 경우 발생 가능
요청 전문의 구조(JSON)가 정상인지 확인"
400,Bad Request,"{
    ""timestamp"": ""20241205175035"",
    ""status"": 400,
    ""code"": ""ORD_MSG_003"",
    ""message"": ""r3kPrdId은 자리수가 8 자리입니다.""
}",파라미터 값 오류,"파라미터의 형식이나 자리 수가 맞지 않는 경우 발생 가능
요청된 파라미터가 정상인지 확인"
400,Bad Request,"{
    ""error"": ""CI-URL FeignException"",
    ""message"": ""No content to map due to end-of-input\n at. [Source: (String)\""\""; line: 1, column: 0]"",
    ""timestamp"": ""2024-12-11T17:36:52.608395631"",
    ""status"": 400
}",CI 미존재 (대고객 채널),고객 등록을 먼저 수행하거나 고객 등록이 필요하지 않은 경우 정보 없음으로 처리
